month,date,city_name,max_num,min_num
2,2018-02-20,昆明,21,4
2,2018-02-20,济南,4,1
2,2018-02-20,西安,9,2
2,2018-02-20,贵阳,10,4
2,2018-02-20,运城,10,0
2,2018-02-20,郑州,6,1
2,2018-02-20,重庆,16,10
2,2018-02-21,北京,8,-6
2,2018-02-21,呼和浩特,0,-15
2,2018-02-21,恩施,9,7
2,2018-02-21,成都,11,7
2,2018-02-21,昆明,21,6
2,2018-02-21,济南,8,0
2,2018-02-21,西安,8,1
2,2018-02-21,贵阳,6,2
2,2018-02-21,运城,8,0
2,2018-02-21,郑州,10,0
2,2018-02-21,重庆,11,9
2,2018-02-22,北京,9,-4
2,2018-02-22,呼和浩特,1,-13
2,2018-02-22,恩施,10,5
2,2018-02-22,成都,14,6
2,2018-02-22,昆明,21,4
2,2018-02-22,济南,11,1
2,2018-02-22,西安,14,0
2,2018-02-22,贵阳,4,1
2,2018-02-22,运城,13,-2
2,2018-02-22,郑州,15,0
2,2018-02-22,重庆,10,8
2,2018-02-23,北京,11,-4
2,2018-02-23,呼和浩特,2,-10
2,2018-02-23,恩施,7,3
2,2018-02-23,成都,11,4
2,2018-02-23,昆明,20,3
2,2018-02-23,济南,17,6
2,2018-02-23,西安,15,0
2,2018-02-23,贵阳,15,2
2,2018-02-23,运城,19,-1
2,2018-02-23,郑州,19,1
2,2018-02-23,重庆,15,7
2,2018-02-24,北京,2,-3
2,2018-02-24,呼和浩特,2,-10
2,2018-02-24,恩施,9,5
2,2018-02-24,成都,19,4
2,2018-02-24,昆明,19,4
2,2018-02-24,济南,3,-2
2,2018-02-24,西安,15,5
2,2018-02-24,贵阳,12,6
2,2018-02-24,运城,14,1
2,2018-02-24,郑州,10,1
2,2018-02-24,重庆,15,11
2,2018-02-25,北京,6,-6
2,2018-02-25,呼和浩特,7,-9
2,2018-02-25,恩施,18,5
2,2018-02-25,成都,20,8
2,2018-02-25,昆明,21,3
2,2018-02-25,济南,11,-2
2,2018-02-25,西安,14,1
2,2018-02-25,贵阳,16,6
2,2018-02-25,运城,18,-1
2,2018-02-25,郑州,13,-3
2,2018-02-25,重庆,19,8
2,2018-02-26,北京,10,-3
2,2018-02-26,呼和浩特,11,-4
2,2018-02-26,恩施,17,4
2,2018-02-26,成都,16,11
2,2018-02-26,昆明,21,6
2,2018-02-26,济南,16,6
2,2018-02-26,西安,16,4
2,2018-02-26,贵阳,11,5
2,2018-02-26,运城,19,1
2,2018-02-26,郑州,20,1
2,2018-02-26,重庆,16,10
2,2018-02-27,北京,5,0
2,2018-02-27,呼和浩特,9,-4
2,2018-02-27,恩施,11,10
2,2018-02-27,成都,20,10
2,2018-02-27,昆明,20,9
2,2018-02-27,济南,15,3
2,2018-02-27,西安,14,9
2,2018-02-27,贵阳,20,9
2,2018-02-27,运城,15,8
2,2018-02-27,郑州,13,5
2,2018-02-27,重庆,16,12
2,2018-02-28,北京,6,0
2,2018-02-28,呼和浩特,6,-7
2,2018-02-28,恩施,17,10
2,2018-02-28,成都,22,6
2,2018-02-28,昆明,24,7
2,2018-02-28,济南,12,1
2,2018-02-28,西安,22,3
2,2018-02-28,贵阳,19,8
2,2018-02-28,运城,20,2
2,2018-02-28,郑州,17,3
2,2018-02-28,重庆,20,9
3,2018-03-01,北京,8,0
3,2018-03-01,呼和浩特,1,-10
3,2018-03-01,恩施,11,10
3,2018-03-01,成都,24,10
3,2018-03-01,昆明,23,7
3,2018-03-01,济南,8,2
3,2018-03-01,西安,16,8
3,2018-03-01,贵阳,20,14
3,2018-03-01,运城,13,7
3,2018-03-01,郑州,12,6
3,2018-03-01,重庆,24,14
3,2018-03-02,北京,9,-1
3,2018-03-02,呼和浩特,11,-6
3,2018-03-02,恩施,11,10
3,2018-03-02,成都,23,12
3,2018-03-02,昆明,22,6
3,2018-03-02,济南,14,4
3,2018-03-02,西安,14,6
3,2018-03-02,贵阳,23,14
3,2018-03-02,运城,20,1
3,2018-03-02,郑州,13,3
3,2018-03-02,重庆,21,14
3,2018-03-03,北京,11,1
3,2018-03-03,呼和浩特,12,0
3,2018-03-03,恩施,13,8
3,2018-03-03,成都,23,11
3,2018-03-03,昆明,22,7
3,2018-03-03,济南,15,9
3,2018-03-03,西安,19,4
3,2018-03-03,贵阳,27,15
3,2018-03-03,运城,22,3
3,2018-03-03,郑州,16,5
3,2018-03-03,重庆,24,14
3,2018-03-04,北京,8,0
3,2018-03-04,呼和浩特,8,-2
3,2018-03-04,恩施,19,12
3,2018-03-04,成都,17,12
3,2018-03-04,昆明,21,8
3,2018-03-04,济南,11,0
3,2018-03-04,西安,14,6
3,2018-03-04,贵阳,26,16
3,2018-03-04,运城,13,7
3,2018-03-04,郑州,12,5
3,2018-03-04,重庆,21,14
3,2018-03-05,北京,7,-3
3,2018-03-05,呼和浩特,9,-8
3,2018-03-05,恩施,14,10
3,2018-03-05,成都,16,10
3,2018-03-05,昆明,24,9
3,2018-03-05,济南,6,-2
3,2018-03-05,西安,9,4
3,2018-03-05,贵阳,16,6
3,2018-03-05,运城,12,6
3,2018-03-05,郑州,7,2
3,2018-03-05,重庆,15,12
3,2018-03-06,北京,4,-4
3,2018-03-06,呼和浩特,9,-4
3,2018-03-06,恩施,10,7
3,2018-03-06,成都,14,10
3,2018-03-06,昆明,22,9
3,2018-03-06,济南,8,0
3,2018-03-06,西安,7,4
3,2018-03-06,贵阳,6,4
3,2018-03-06,运城,7,4
3,2018-03-06,郑州,8,3
3,2018-03-06,重庆,12,11
3,2018-03-07,北京,3,-3
3,2018-03-07,呼和浩特,2,-6
3,2018-03-07,恩施,13,3
3,2018-03-07,成都,19,9
3,2018-03-07,昆明,22,8
3,2018-03-07,济南,11,1
3,2018-03-07,西安,12,3
3,2018-03-07,贵阳,9,5
3,2018-03-07,运城,9,2
